name,year,party,id
"ALEXANDER, ANDREW LAMAR",2000,REP,P60003225
"ASHE, WARREN RODERICK ",2000,DEM,P00003715
"AWARD, DONALD PAUL",2000,DEM,P00003632
"BALLARD, GEORGE H III",2000,DEM,P20001418
"BARNECK, TODD ALAN",2000,DEM,P00003202
"BAUER, GARY L",2000,REP,P00003491
"BECK, JERRY GARTH",2000,DEM,P00004044
"BENTLEY, THOMAS A",2000,REP,P00002592
"BERRY, SAMUEL HARPER JR",2000,REP,P00001073
"BIRCHLER, DAVID HAROLD",2000,REP,P60004058
"BLODGETT, LYNDA DANYELLE",2000,REP,P00004192
"BRADLEY, BILL",2000,DEM,P80000516
"BRANOM, HERMAN ROY",2000,DEM,P00004283
"BROWNSTEIN, LAWRENCE F",2000,DEM,P60003167
"BUSH, GEORGE W",2000,REP,P00003335
"CAIN, HERMAN",2000,REP,P00003608
"CALDERWOOD, RICHARD EUGENE",2000,REP,P00003921
"CAPLETTE, RAYMOND JOSEPH",2000,DEM,P20000329
"CARROLL, JAMES MCEVERRET",2000,DEM,P00001081
"CARTER, WILLIE FELIX",2000,DEM,P80000268
"CHAVIS-ROCKER, ANGEL JOY",2000,REP,P00003350
"CHRISTENSEN, FRANKLIN DEAN",2000,REP,P60002516
"CLARK, LAWRENCE (LARRY) JAMES",2000,REP,P00003285
"COLEMAN, JAMES ANDREA",2000,DEM,P00003574
"CROW, RANDOLPH WILSON",2000,REP,P00003343
"DAILEY, MITCHELL ERNEST",2000,REP,P00003947
"DAVIS, MIGNON MARIE",2000,DEM,P40003311
"DOLE, ELIZABETH",2000,REP,P00003319
"DOTY, CHARLES R",2000,DEM,P40000473
"FABISH, THOMAS S",2000,REP,P80000870
"FELLURE, LOWELL JACKSON",2000,REP,P20000089
"FITZPATRICK, JOHN MICHAEL",2000,REP,P00004010
"FLYNN, RICHARD FRANCIS",2000,DEM,P20001475
"FORBES, STEVE",2000,REP,P60003852
"FOUTCH, MARSHA AILEEN LANNAN",2000,DEM,P80001340
"GARINGER, CHARLES EUGENE",2000,DEM,P00003541
"GIBSON, EDWARD PRINCE",2000,DEM,P00003723
"GIULIANI, RUDOLPH W",2000,REP,P00003251
"GLEITMAN, BENJAMIN SAMSON",2000,REP,P60003449
"GORE, AL",2000,DEM,P80000912
"GOSTIGIAN, KRIKOR",2000,REP,P40002693
"GRAY, HOSANNA JESSE O",2000,DEM,P80001936
"GUMZ, MARCUS JOY",2000,REP,P00004127
"HANKINS, GERALD LAMAR MR",2000,DEM,P00004135
"HARDER, HEATHER ANNE DR",2000,DEM,P60003035
"HARRIS, CALVIN DURANT",2000,DEM,P80002777
"HATCHER, JEFFERY",2000,DEM,P00004267
"HATCH, ORRIN GRANT",2000,REP,P00003806
"HOWARD, MILDRED (MILLIE)",2000,REP,P20000550
"HUNT, HARRY SUMNER",2000,REP,P00003525
"IWACHIW, WALTER N",2000,REP,P00004846
"JACKSON, MICHAEL JOESEPH MR",2000,REP,P00003707
"JARBOE, STEVEN RYAN",2000,REP,P00004655
"JOBE, MARK ALLEN",2000,REP,P00003434
"JOHNSON, DERRICK CHRISTOPHER",2000,REP,P00003269
"JONES, ALFONZO",2000,DEM,P00004358
"JOSEPH, RHAWN ""GABRIEL"" PHD",2000,REP,P00004093
"JUDD, KEITH RUSSELL",2000,DEM,P60003530
"KALEMKARIAN, TIMOTHY CHARLES",2000,REP,P60003175
"KASICH, JOHN R",2000,REP,P60003670
"KOOS, THOMAS GEORGE",2000,DEM,P00004713
"LAROUCHE, LYNDON H JR",2000,DEM,P60000452
"LIEBERMAN, JOSEPH I",2000,DEM,P00004754
"LUSAK, STANLEIGH HAROLD",2000,REP,P00003590
"MALONE, YEHANNA JOAN M M",2000,REP,P00003814
"MARTIN, ANDY",2000,REP,P00003731
"MARTISKO, MIKE BENJAMIN",2000,REP,P00003756
"MASTERS, ISABELL DR PHD",2000,REP,P40000853
"MCCAIN, JOHN S.",2000,REP,P80002801
"MCDONALD, ANGUS WHEELER",2000,DEM,P80001191
"MESSIAH, (FREDDY IRWIN SITNICK)",2000,REP,P80000730
"MILLER, MICHAEL TRACY",2000,DEM,P00003475
"MOLER, BRADLEY WILLIAM",2000,REP,P00003558
"MOREAU, ROBERT EDWARD",2000,REP,P00003327
"MORROW, JOSEPH UNDERWOOD",2000,REP,P00004325
"MOSBY, TIM LEE",2000,REP,P00002253
"MUZYK, GEORGE ALEXANDER",2000,DEM,P00000729
"NESBIT, DAVID WALTER",2000,DEM,P00003459
"NICHOLSON, DAVID LEE",2000,DEM,P00003178
"OGIN, FREDERICK EUGENE",2000,DEM,P40000382
"PERESAD, MITCHELL MATTHEW JR",2000,DEM,P60004728
"PETERS, JEFFREY BLAIR",2000,DEM,P00004150
"POLAND, HAROLD LAWRENCE",2000,DEM,P00002667
"PRATTAS, JAMES ",2000,REP,P00003236
"QUAYLE, DAN",2000,REP,P80002587
"RAPUANO, LOUIS JAMES JR",2000,REP,P00004317
"REED, LARRY KEITH (VICE PRES)",2000,DEM,P00003772
"ROBERTS, JOHN DAVID",2000,REP,P00003194
"ROGERS, ALFORD",2000,REP,P60003563
"ROGERS, TENNIE BEATRICE",2000,REP,P20001210
"SCHUMAKER, ROBERT GRANER",2000,REP,P00003673
"SHEPHERD, LARRY E",2000,DEM,P60004314
"SLINKER, KEITH HAROLD",2000,REP,P20001640
"SMITH, ROBERT C",2000,REP,P00003376
"TAYLOR, JAMES",2000,REP,P00004184
"THOMPSON, FRED DALTON",2000,REP,P00003186
"TOMEO, BEN J",2000,DEM,P60003662
"TOROSIAN, MICHAEL PAUL",2000,REP,P00004291
"TURNER, JOE",2000,REP,P00003939
"VICK, CHARLES GORDON DR",2000,REP,P80002793
"VITULLO, EVELYN LOUISE",2000,DEM,P00004200
"WALDRON, PATRICK",2000,REP,P00003798
"WATSON, GARRY RAY MR",2000,DEM,P00001461
"WATTS, VERA",2000,DEM,P20001632
"WESTOVER, VEREL TRACY SR",2000,REP,P00003988
"WINTERBOTTOM, THOMAS FRANCIS",2000,DEM,P00003244
"YOUNG, RUBIN",2000,DEM,P60004132
"ALEXANDER-PACE, JAMES",2004,DEM,P40003204
"ASHE, WARREN RODERICK ",2004,DEM,P00003715
"AWARD, DONALD PAUL",2004,DEM,P00003632
"AYERS, ROBERT J",2004,DEM,P40002735
"BALLARD, GEORGE HENRY III",2004,DEM,P40003089
"BECK, JERRY GARTH",2004,DEM,P00004044
"BECK, SANDERSON",2004,DEM,P40002461
"BELLINGER, JIM",2004,DEM,P40002438
"BLAKLEY, WILLIAM",2004,DEM,P40002784
"BRAUN, CAROL MOSELEY",2004,DEM,P40002552
"BRAUN, HARRY WILLIAM III",2004,DEM,P40003139
"BRINSON-BUTTS, ALBERTHA",2004,REP,P40002149
"BUCHANAN, JOHN HOWARD",2004,REP,P40003162
"BUKEWIHGE, EDIE",2004,DEM,P40002909
"BUSH, GEORGE W",2004,REP,P00003335
"CAPLETTE, RAYMOND JOSEPH",2004,DEM,P20000329
"CARTER, WILLIE FELIX",2004,DEM,P80000268
"CAZNEAU, PATRICK LEE",2004,DEM,P40002271
"CHRISTENSEN, FRANKLIN DEAN",2004,REP,P60002516
"CLARKSON, S SCOTT",2004,REP,P40003402
"CLARK, WESLEY K",2004,DEM,P40002792
"COLEMAN, JAMES ANDREW",2004,DEM,P40002842
"DEAN, HOWARD",2004,DEM,P40002214
"EDWARDS, JOHN",2004,DEM,P40002347
"ESTRADA, JOHN ANTHONY",2004,DEM,P40002487
"FABISH, THOMAS S",2004,REP,P80000870
"FEINGOLD, RUSSELL D",2004,DEM,P40003063
"FELLURE, LOWELL JACKSON",2004,REP,P20000089
"FEY, SUSAN",2004,DEM,P40002586
"FINKELSTEIN, BARRY WYNNE",2004,DEM,P40002768
"FLYNN, RICHARD FRANCIS",2004,DEM,P20001475
"FOUTCH, MARSHA AILEEN LANNAN",2004,DEM,P80001340
"GEPHARDT, RICHARD A",2004,DEM,P80000581
"GIBSON, ROBERT ANTHONY (RAM ROD)",2004,DEM,P40003212
"GIDNER, BRUCE ALLEN",2004,REP,P40002040
"GILLHAM, GARY LYNN",2004,DEM,P40002065
"GLOVER, JAMES IRVIN",2004,DEM,P40000044
"GLOVER, MILDRED WILLIAMS",2004,DEM,P40002958
"GOIN-HARDING, CECILIA MARGARET",2004,DEM,P40003048
"GRAHAM, BOB",2004,DEM,P40002628
"GRAY, HOSANNA JESSE O",2004,DEM,P80001936
"GREEN, WILLIAM J III",2004,DEM,P40002800
"HARDY, AMANDA LOU",2004,DEM,P40002339
"HILL, KENNETH H.",2004,DEM,P40002941
"HOWARD, MILDRED (MILLIE)",2004,REP,P20000550
"HUNTER, DARRELL REECE",2004,DEM,P40003022
"JACKSON, DARIN",2004,DEM,P40003485
"JONES, ALFONZO",2004,DEM,P00004358
"KALEMKARIAN, TIMOTHY CHARLES",2004,REP,P60003175
"KENNEDY, JOHN JOSEPH",2004,DEM,P40003519
"KERRY, JOHN F",2004,DEM,P80000235
"KUCINICH, DENNIS J",2004,DEM,P40002545
"LAROUCHE, LYNDON H JR",2004,DEM,P60000452
"LEAVERTON, GLENN D",2004,DEM,P40002511
"LIEBERMAN, JOSEPH I",2004,DEM,P00004754
"MALLOY, STEVEN P",2004,DEM,P20000824
"MALONE, YEHANNA JOAN M M",2004,REP,P00003814
"MASON, JOHN CHRISTOPHER DR DO (RET)",2004,DEM,P40003253
"MASTERS, ISABELL DR PHD",2004,REP,P40000853
"MCFADDIN, KENNETH RAY",2004,DEM,P40002081
"MEADOWS, SHERRY ANN",2004,DEM,P20001061
"MELTON, GLENN HARLAN",2004,REP,P40003436
"MESSIAH, (FREDDY IRWIN SITNICK)",2004,REP,P80000730
"MILLER, AMATUL-MANNAN Q KATE BENGALEE",2004,DEM,P40003147
"MILLER, WILLIAM CLAY",2004,DEM,P00004234
"MILLS, ROBERT",2004,REP,P40003105
"MOLLENHOUR, GRADY DEAN REV JR",2004,DEM,P40002446
"MONTANEZ, MONTY",2004,REP,P40003246
"NUERENBERG, JOHN HENRY",2004,DEM,P40002701
"O'DONNELL, EDWARD THOMAS JR",2004,DEM,P40003055
"OGIN, FREDERICK EUGENE",2004,DEM,P40000382
"PENNA, FERN",2004,DEM,P40002305
"PRATTAS, JAMES ",2004,REP,P00003236
"RACZKOWSKI, RAYMOND J",2004,DEM,P40003071
"RAPUANO, LOUIS JAMES JR",2004,REP,P00004317
"REAUX, DONALD JAMES",2004,DEM,P40002818
